Entity,Activity Diagram,Use Case Diagram,Timing Diagram,State Machine Diagram,Interaction Overview Diagram,Communication Diagram,Sequence Diagram,Class Diagram,Object Diagram,Component Diagram,Composite Structure Diagram,Deployment Diagram,Package Diagram,Profile Diagram,Process Diagram,Decision Requirement Diagram,Case Diagram
Activity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Actor,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Artifact,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
Association,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
Behavior,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Behavioral State,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Behavioral Transition,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Class,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0
Combined Fragment,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0
Component,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Condition,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connector,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Control,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dependency,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1
Destruction Occurence,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Event,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Execution,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Extend,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Generalization,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Include,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interaction,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
Interface,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Lifeline,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Link,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Message,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0
Model,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Node,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Object,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
Package,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Part,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Port,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Profile,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Prtotocol State,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Protocol Transition,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudostate,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Specification,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
State,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
State Invariant,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Stereotype,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Structure,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
Subject,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swimlance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Timeline,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ussage,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Use Case,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
association/dataAssociationa,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
CallActivity ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cancel,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Catching message Intermediate Event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
conditional sequence flow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DataObject,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
dataStoreRef ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dataStoreReference ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
documentationc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
endEvent (None),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
error,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
eventBasedGateway,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
exclusiveGateway,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
exclusiveGateway ,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
Generalization,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
inclusiveGateway,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
intermedate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
laneSet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Link catch/throw Intermediate Event,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Looping Activity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
message,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Message flow,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
messageEndEvent ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
messageStartEvent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MultiInstance Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
multiple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
parallelGateway ,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
participant (pool) ,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
receiveTask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
sendTask,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
sequenceFlow (conditional),0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
sequenceFlow (default),1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
sequenceFlow (unconditional),0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
serviceTask,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
signalEndEvent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
signalStartEvent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
startEvent (None) ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
subProcess (collapsed),1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
subProcess (expanded) ,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
task (None) ,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
terminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
terminateEndEvent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TextAnnotation ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
timerStartEvent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
userTask ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
AnnotactionText,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
Asociaction,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
Authority Requirement,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Business Knowledge Models,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Decision,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1
Information Requirement,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
Input Data,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
Knowledge Requirement,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Knowledge Source,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Artifacts,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1
Case,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Case File Items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Case Plan Models,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Connectors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Decorators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Entry and Exit Criterion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
EventListeners,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Milestones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Plan Fragments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Planning Table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Stages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tasks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Tasks_Case Task,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tasks_Human Task,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Tasks_Process Task,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
